task,source_prefix,audio_path,resolved_audio_path,resolution_method,prompt,gold_response,true_value,prediction,pred_value,is_exact_match,is_value_correct,status,error
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_anger_freeform_0_145942.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_anger_freeform_0_145942.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_06_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_06_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_06_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_06_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal traits. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/sentences_13_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/sentences_13_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_06_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_06_regular_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_08_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_08_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p082/sentences_04_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/sentences_04_whisper_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal traits.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/sentences_04_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/sentences_04_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/sentences_04_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/sentences_04_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/sentences_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/sentences_08_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 56 and 65 years old. ,56-65,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/sentences_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/sentences_08_slow_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/freeform_speech_02_480000_640000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/freeform_speech_02_480000_640000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 18 and 25 years old. ,18-25,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/emo_guilt_sentences_0_140918.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_guilt_sentences_0_140918.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/emo_guilt_sentences_0_140918.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_guilt_sentences_0_140918.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/emo_extasy_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_extasy_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/emo_extasy_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_extasy_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/freeform_speech_02_160000_320000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/freeform_speech_02_160000_320000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/freeform_speech_02_2240000_2400000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/freeform_speech_02_2240000_2400000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 18 and 25 years old. ,18-25,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/freeform_speech_02_2240000_2400000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/freeform_speech_02_2240000_2400000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/freeform_speech_03_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/freeform_speech_03_2080000_2240000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker's age is between 36 and 45 years old. ,36-45,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/freeform_speech_03_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/freeform_speech_03_2080000_2240000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_03_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_03_whisper_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal traits.,female,The speaker's gender is inferred to be male based on their vocal traits. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_03_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_03_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/emo_desire_sentences_0_128897.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_desire_sentences_0_128897.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_03_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_03_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_03_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_03_slow_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/emo_anger_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_anger_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p082/emo_anger_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/emo_anger_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p082/rainbow_06_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p082/rainbow_06_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 18 and 25 years old. ,18-25,0,0,ok,
